video_id,title,views,channel_name,subscribers,VADER Sentiment,TextBlob Sentiment,Final Sentiment,Sentiment Score
0KJS_2d2jOk,13cute kitten cat lovecats cats catvideos kittens catlover princesscat kitten,59521289,cat kitten,601000,Neutral,Neutral,Neutral,0.0
NsMKvVdEPkw,kitten meowing to attract cats,275078371,cute baby cats 267,1010000,Positive,Neutral,Neutral,0.3612
OQoukB1VB5k,cute cat dancing video 2 cat dog dogdance catdance,46160108,pretty kittens,2830000,Positive,Positive,Positive,0.4588
-Kd0eoDgVFc,crazy cute cat dancing   cutecat cats cat dancingcat catvideos shortfeed viralshorts f33,15983541,cat cute johi,346000,Positive,Negative,Neutral,0.1531
ASFCURj-2hQ,cat   cute baby  laughing video funnyvideo cutebaby comedy laugh shorts,50931850,toon4,719000,Positive,Positive,Positive,0.9062
23SoRjexSvo,little mao cat catvideos shorts,218806222,pet lovers,825000,Neutral,Negative,Neutral,0.0
hOIWnvbjk-0,cat barsik   xylophone asmr sound ball mallet  wooden balls sound xylophone sweetmarblescandy,6299219,sweet marbles candy,93100,Neutral,Positive,Neutral,0.0
I0VjLsQSzP4,couple cat  elegant couple catsmeow meow billi tiktok funny shorts meow ytshorts yt,6887258,cartoon ai  32m,54600,Positive,Positive,Positive,0.7184
qolQY2JaKwI,nika loves to eat chicken cat cats,297234646,princess nika cat,9500000,Positive,Negative,Neutral,0.5719
7qCffuFSp5Q,thank you cat  cats shorts,21668070,cat buddy,167000,Positive,Neutral,Neutral,0.3612
IlpjDhhEVbY,evolution of cat  big water slide  maiw milky  cat cute love shorts,25548161,maiw milky,611000,Positive,Positive,Positive,0.802
BBTHrh1LHyA,cute cat cats cats101 shorts shortsvideo trending trendingshorts short trend catstory,59901459,cute cats,111000,Positive,Positive,Positive,0.4588
BhcJa_kWWv4,kitten becomes police and take car of her sister cats kitten shorts,8847515,cat ai network,1120000,Neutral,Neutral,Neutral,0.0
ANpALBBuWXw,cat video  cat voice  cat sound  cat meowing shorts short youtubeshorts tranding  cat cats,97478343,viku info,241000,Neutral,Positive,Neutral,0.0
xhntaqz-t6Q,modal cat dancing videos cat catworld kittens catvideo catdancing catdance ytshorts,2585676,cat world  manishas videos,46800,Neutral,Neutral,Neutral,0.0
3bhkYoMWTFE,cats doing cat things 3,401774565,catvid19,2020000,Neutral,Neutral,Neutral,0.0
iW-YfpDgpxo,cat videos funny dance cat lovelyecats catvideos cute shorts ytshortsvideo,8456309,furry cornerz,259000,Positive,Positive,Positive,0.7096
0AwB4ivE-Uw,cute cats and monkey take my birthday cake catvideos cutecats catlover trendingshorts,11310961,lovie jennaira,2410000,Positive,Positive,Positive,0.4588
M1SqkYQuFvU,cats can talk,20534620,kivoyt,1230000,Neutral,Neutral,Neutral,0.0
ulSiWcHV2yI,english speaking cats funny funnycats funnyanimals,32981001,prank,194000,Positive,Positive,Positive,0.4404
M2CWmkl5P7k,the cute cat gives an education catlover cutecat catvideos trendingshorts,7831945,kak nurul,964000,Positive,Positive,Positive,0.4588
raqVWkzkglM,cat  inside the lays pack ahhh  tomjerry  tikihenavlogs funny short viralvideo subscribe,593521,tiki hena vlogs,6250000,Positive,Positive,Positive,0.4404
4Y4lY8m4aOI,how to make spinning oiiaoiia cat,14961580,메이커 팡팡맨 maker pangpangman,301000,Neutral,Neutral,Neutral,0.0
c77SiBbx-Qk,bride cat  beautifulcat yt,86718655,bunch of viral,637000,Neutral,Neutral,Neutral,0.0
DiEJQ3ZgQvI,cute kitten of cat is doing makeup for the first time cat catstory catlover,144738338,lovento films,1300000,Positive,Positive,Positive,0.4588
-vzQdTvm2VA,88 funny cat videos  meowing memes cute,25080111,pets funny folder,428000,Positive,Positive,Positive,0.7096
2iQxQHF5fhw,and where do your pets hide their toys cat cats,106465412,sonyakisa8 tt,18100000,Negative,Neutral,Neutral,-0.1779
_O-mh5rnh1A,how cats really see humans,1641066,cuddle cats tales,198000,Neutral,Positive,Neutral,0.0
O_bJuDvu0pk,cat stole money  cats cat,7655088,cosefnastya shorts,8520000,Neutral,Neutral,Neutral,0.0
fmwM8WDN2Ig,funny pets  2024 funny dogs and funny cats videos    145,12574665,wkloverbaby,345000,Positive,Positive,Positive,0.8271
